Order ID,Purchase Date,Ship Date,Returned,Return Date,Continent,Country,City,Store ID,Store Name,Store Type,Channel,Priority,Payment Method,Promotion ID,Promotion Name,Customer ID,Customer Segment,Loyalty Tier,Salesperson ID,Salesperson Department,Product ID,SKU,Product Name,Category,Subcategory,Brand,Quantity,Unit Cost,Unit Price,Discount Amount,Tax Amount,Shipping Cost,Gross Sales,Net Sales,COGS,Gross Profit
O900023,1/9/24,,Yes,2/2/24,Europe,United Kingdom,Manchester,S019,Everyday Store - Manchester,Mall,In-Store,Normal,EFT,NONE,No Promotion,C00530,Student,Bronze,E0053,Customer Care,P0059,SKU-100058,Acer Laptops Basic,Electronics,Laptops,Acer,2,1984,2435,244,370,0,4870,4626,3968,658
O900035,3/15/24,,Yes,4/9/24,Europe,United Kingdom,London,S017,ValueMart - London,High Street,In-Store,Normal,Finance,LOYALTY5,Loyalty 5%,C00914,Business,Gold,E0021,New Sales,P0036,SKU-100035,Local Household Standard,Grocery,Household,Local,3,20,27,6,6,0,81,75,60,15
O900040,9/2/24,9/6/24,Yes,9/4/24,Europe,United Kingdom,Birmingham,S020,Tech & Home - Birmingham,High Street,Online,Normal,EFT,WEEKEND10,Weekend 10%,C00472,Business,Bronze,E0054,Corporate,P0031,SKU-100030,Samsung Phones Air,Electronics,Phones,Samsung,2,1011,1634,425,227,30,3268,2843,2022,821
O900075,3/8/24,,Yes,3/20/24,Europe,United Kingdom,Birmingham,S021,Main Street Retail - Birmingham,High Street,In-Store,Normal,Card,WEEKEND10,Weekend 10%,C00634,Business,Gold,E0030,Corporate,P0100,SKU-100099,Anker Accessories Basic,Electronics,Accessories,Anker,2,813,1463,293,211,0,2926,2633,1626,1007
O900089,6/26/24,,Yes,7/9/24,Europe,United Kingdom,Manchester,S018,ValueMart - Manchester,High Street,In-Store,Normal,Finance,LOYALTY5,Loyalty 5%,C00258,Business,Bronze,E0063,Customer Care,P0028,SKU-100027,Local Household Eco,Grocery,Household,Local,4,28,35,7,11,0,140,133,112,21
O900112,3/13/24,3/19/24,Yes,3/19/24,Europe,United Kingdom,Manchester,S018,ValueMart - Manchester,High Street,Online,Normal,Card,BUNDLE12,Bundle 12%,C00418,Budget,None,E0070,Customer Care,P0055,SKU-100054,Local Snacks Eco,Grocery,Snacks,Local,2,24,40,14,5,0,80,66,48,18
O900132,4/16/24,4/17/24,Yes,5/14/24,Africa,South Africa,Durban,S003,Everyday Store - Durban,Mall,Online,Normal,Card,NONE,No Promotion,C00014,Family,None,E0032,New Sales,P0154,SKU-100153,Samsung Phones Pro,Electronics,Phones,Samsung,1,1270,1986,40,292,30,1986,1946,1270,676
O900169,1/27/24,,Yes,2/12/24,Africa,South Africa,Cape Town,S002,Everyday Store - Cape Town,Outlet,In-Store,Low,Card,CLEARANCE15,Clearance 15%,C00623,Student,Gold,E0034,Corporate,P0178,SKU-100177,Local Snacks Eco,Grocery,Snacks,Local,3,16,28,17,10,0,84,67,48,19
O900176,10/7/24,,Yes,10/11/24,Africa,Kenya,Kisumu,S008,Tech & Home - Kisumu,Warehouse,In-Store,Low,EFT,NONE,No Promotion,C00400,Family,Silver,E0067,New Sales,P0173,SKU-100172,Google Phones Pro,Electronics,Phones,Google,1,458,544,0,82,0,544,544,458,86
O900229,8/31/24,9/6/24,Yes,9/9/24,Africa,South Africa,Durban,S003,Everyday Store - Durban,Mall,Online,Normal,Wallet,BUNDLE12,Bundle 12%,C00741,Business,None,E0062,New Sales,P0154,SKU-100153,Samsung Phones Pro,Electronics,Phones,Samsung,1,1270,1986,338,247,0,1986,1648,1270,378
